program_id,institution_id,name,field_tags,degree_level,mode,tuition_aud_per_year,intakes,is_migration_aligned
1,1,Design,Ecology;Design,Diploma,online,27998,2;7,False
2,1,Architecture,Architecture;Finance,Diploma,oncampus,19528,10,False
3,1,Accounting,Marketing;Banking;Computer Science,Bachelor,oncampus,36627,2;7,False
4,1,Artificial Intelligence,Artificial Intelligence;Film,Bachelor,oncampus,28612,2;3,True
5,1,Artificial Intelligence,Design;Film,Bachelor,oncampus,38206,3;10,True
6,1,Artificial Intelligence,Banking;Psychology;Cybersecurity,Master,oncampus,29021,2;7,False
7,1,Data Science,Data Science;Design;Data Science,Bachelor,oncampus,38990,3;10,False
8,1,Design,Design;Public Health;Data Science,Master,hybrid,29016,10,False
9,1,Banking,Law;Environmental Science;Public Health,Diploma,oncampus,26529,10,True
10,1,Business,Ecology;International Law,Bachelor,oncampus,34684,10,True
11,1,Education,Education;Engineering;Renewable Energy,Bachelor,oncampus,28568,3;7,True
12,1,Architecture,Film;Sustainable Design,Bachelor,hybrid,32736,2,False
13,1,Data Science,International Law;Data Science,Master,oncampus,34184,3,False
14,1,Sustainable Design,Ecology;Banking;Sustainable Design,Diploma,hybrid,21104,7,False
15,1,Design,Finance;Business,Bachelor,hybrid,35762,2;7,False
16,1,Public Health,Cybersecurity;Public Health;Education,Bachelor,hybrid,33385,2,True
17,1,Artificial Intelligence,Artificial Intelligence;International Law;Business,Master,hybrid,50361,3,True
18,1,Banking,Film;Architecture,Bachelor,oncampus,28790,3;7,False
19,1,Renewable Energy,Renewable Energy;Artificial Intelligence,Bachelor,oncampus,32374,3,True
20,1,Computer Science,Computer Science;Accounting;Design,Diploma,oncampus,27914,3;10,False
21,1,Data Science,Ecology;Data Science;International Law,Bachelor,hybrid,39083,2;3,False
22,1,Cybersecurity,Cybersecurity;Architecture,Master,online,38230,2,False
23,1,Information Technology,Public Health;Information Technology,Bachelor,oncampus,38221,3,True
24,1,Architecture,Artificial Intelligence;Accounting,Bachelor,oncampus,38936,2,True
25,1,Artificial Intelligence,Architecture;Accounting,PhD,oncampus,47879,2;10,False
26,1,Marketing,Banking;Psychology,Bachelor,online,38851,2;10,False
27,1,Finance,Finance;Law;Information Technology,Bachelor,oncampus,29696,7;10,True
28,1,Renewable Energy,Renewable Energy;Artificial Intelligence;Marketing,Bachelor,online,33392,3,False
29,1,Psychology,Psychology;Accounting,Diploma,oncampus,23791,7,False
30,1,Banking,Public Health;Environmental Science;Banking,Bachelor,online,30389,3;7,False
31,1,Public Health,Public Health;Sustainable Design,PhD,oncampus,52671,7,False
32,1,Business,Accounting;Business,PhD,oncampus,32811,7;10,True
33,1,Design,Design;Nursing;Data Science,Bachelor,oncampus,39822,2,True
34,1,Ecology,Banking;Nursing;Film,Bachelor,oncampus,27959,7;10,True
35,1,Engineering,Design;Information Technology,Bachelor,oncampus,34120,7,False
36,2,Business,Ecology;Marketing;Banking,Master,oncampus,50671,2;10,True
37,2,Environmental Science,International Law;Education;Environmental Science,PhD,oncampus,49492,7,True
38,2,Information Technology,Information Technology;Finance;Data Science,Master,hybrid,37874,3,False
39,2,Accounting,Marketing;Architecture,Master,hybrid,40183,7;10,False
40,2,Ecology,Ecology;Banking,Master,hybrid,43586,10,False
41,2,Accounting,Sustainable Design;Accounting;Education,Bachelor,online,40207,3;10,False
42,2,Banking,Design;Education;Banking,Master,hybrid,33699,2,True
43,2,Banking,Cybersecurity;Banking,Bachelor,online,32015,3;7,False
44,2,Film,Cybersecurity;Law,PhD,oncampus,42757,2;10,True
45,2,Renewable Energy,International Law;Ecology,PhD,oncampus,35895,7,False
46,2,Film,Ecology;Nursing,Bachelor,oncampus,41968,10,True
47,2,Environmental Science,Architecture;Finance;Environmental Science,Bachelor,online,38946,7,False
48,2,Psychology,Finance;Nursing;Computer Science,Bachelor,oncampus,36716,10,False
49,2,Data Science,Data Science;Engineering,Bachelor,oncampus,28327,7,False
50,2,Artificial Intelligence,Accounting;Artificial Intelligence,Master,oncampus,28190,2;10,False
51,2,Engineering,Artificial Intelligence;Sustainable Design;Architecture,Master,oncampus,29816,2;3,False
52,2,Design,Cybersecurity;Architecture,Master,oncampus,40913,2;7,False
53,2,Accounting,Business;Sustainable Design;Cybersecurity,PhD,hybrid,31409,10,False
54,2,Film,International Law;Film,Master,online,35343,3;10,False
55,2,Banking,Renewable Energy;Banking;Banking,Master,oncampus,38647,2;7,True
56,2,Nursing,Public Health;Nursing;International Law,Bachelor,oncampus,38307,3;7,False
57,2,Finance,International Law;Architecture;Finance,Diploma,oncampus,27163,3;10,False
58,3,Law,Psychology;Law;Computer Science,PhD,oncampus,52677,3;10,True
59,3,International Law,Accounting;International Law;International Law,Master,oncampus,48238,2,False
60,3,Psychology,Data Science;Ecology,Bachelor,hybrid,31691,2,True
61,3,Psychology,Artificial Intelligence;Psychology,Bachelor,hybrid,35183,3,True
62,3,Information Technology,Finance;Public Health;Sustainable Design,Bachelor,oncampus,38556,3;10,True
63,3,Artificial Intelligence,International Law;Artificial Intelligence,Bachelor,online,26830,2;10,True
64,3,Accounting,Computer Science;Accounting,Bachelor,oncampus,31949,2;7,False
65,3,Finance,Finance;Marketing;Banking,Bachelor,oncampus,38921,2;3,False
66,3,Law,Law;Environmental Science,Master,online,31343,2;3,False
67,3,Environmental Science,Environmental Science;Data Science;Film,Master,online,36130,2;7,True
68,3,Design,Cybersecurity;Architecture,Bachelor,online,28744,10,False
69,3,Environmental Science,Ecology;Renewable Energy;Marketing,Bachelor,oncampus,28479,7,False
70,3,Public Health,Artificial Intelligence;Sustainable Design;Banking,Master,oncampus,30849,3;10,False
71,3,Marketing,Banking;Public Health,Bachelor,online,37008,7;10,False
72,3,Computer Science,Accounting;Finance,Bachelor,oncampus,31878,3;7,False
73,3,Engineering,Engineering;Engineering,Master,oncampus,30427,3,False
74,3,Nursing,Engineering;Education;International Law,Master,oncampus,33536,10,True
75,3,Banking,Accounting;Ecology,Bachelor,oncampus,31726,3,False
76,3,Finance,Banking;Finance;Ecology,Bachelor,oncampus,32748,2;7,False
77,3,Nursing,Nursing;Banking,Diploma,oncampus,26808,3;7,False
78,3,Engineering,Nursing;Computer Science,Diploma,oncampus,18412,3,True
79,3,Information Technology,Artificial Intelligence;Engineering,Bachelor,oncampus,28504,2,False
80,3,Business,Law;Business;Artificial Intelligence,Diploma,online,19571,3,False
81,3,Renewable Energy,Law;Sustainable Design,Bachelor,oncampus,29766,2,True
82,3,Film,Cybersecurity;Design,PhD,online,47749,3,True
83,3,Accounting,Computer Science;Artificial Intelligence;Marketing,Bachelor,oncampus,40780,3,False
84,3,Nursing,Environmental Science;Artificial Intelligence;Nursing,Master,oncampus,49330,3,True
85,3,Design,Design;Artificial Intelligence;Banking,Diploma,oncampus,22491,7,False
86,3,Sustainable Design,Nursing;Psychology,Diploma,oncampus,19062,2;10,False
87,3,Film,Ecology;Film,Diploma,oncampus,27348,2,True
88,3,Data Science,Marketing;Information Technology;Law,Master,hybrid,51625,3,True
89,3,Law,Education;Engineering;Artificial Intelligence,Bachelor,online,31293,3,False
90,3,Public Health,Data Science;Nursing,Bachelor,oncampus,35409,2;3,False
91,3,Banking,Computer Science;Psychology,Bachelor,oncampus,36048,7,False
92,3,Film,Design;Information Technology,Master,oncampus,31141,7,False
93,3,Sustainable Design,Engineering;Cybersecurity,Master,oncampus,48570,2,False
94,3,International Law,International Law;Cybersecurity;Sustainable Design,Bachelor,oncampus,30748,7;10,False
95,3,Environmental Science,Engineering;Sustainable Design,Bachelor,oncampus,39116,3,False
96,4,Artificial Intelligence,Public Health;Artificial Intelligence,Bachelor,oncampus,26823,7;10,False
97,4,Law,Sustainable Design;Engineering;Business,PhD,oncampus,50559,10,False
98,4,Sustainable Design,Accounting;Sustainable Design;Finance,PhD,oncampus,41704,10,False
99,4,Environmental Science,Psychology;Design,PhD,hybrid,49968,3;7,False
100,4,Law,Renewable Energy;Law;Sustainable Design,Bachelor,oncampus,34662,2;3,True
101,4,Engineering,Film;Public Health,Master,oncampus,51959,7;10,True
102,4,International Law,Environmental Science;Design;International Law,Bachelor,online,38377,3;7,True
103,4,Data Science,Artificial Intelligence;Data Science,PhD,online,50159,2;3,True
104,4,Marketing,Marketing;Computer Science,Master,oncampus,50516,2;10,True
105,4,Accounting,Law;Accounting;Data Science,Bachelor,online,33714,10,False
106,4,Film,Engineering;Business;Law,Master,oncampus,28009,2;3,False
107,4,Nursing,Artificial Intelligence;Sustainable Design;Marketing,Master,online,29015,10,True
108,4,Environmental Science,Psychology;Environmental Science,Bachelor,oncampus,30158,7,False
109,4,Law,Computer Science;Environmental Science,Bachelor,oncampus,36344,2,True
110,4,Film,Accounting;Film,Master,online,37860,7,False
111,4,Data Science,Data Science;Business,Master,online,32809,7,False
112,4,Sustainable Design,Sustainable Design;Education,Diploma,oncampus,23997,2;10,True
113,4,Finance,Education;Finance,Diploma,oncampus,22976,3;10,True
114,4,Ecology,Cybersecurity;Ecology,Master,hybrid,38357,7;10,False
