program_id,institution_id,program_name,field_tags,degree_level,mode,intakes,is_migration_aligned
1,1,Design,Ecology;Design,Diploma,online,2;7,FALSE
2,1,Architecture,Architecture;Finance,Diploma,oncampus,10,FALSE
3,1,Accounting,Marketing;Banking;Computer Science,Bachelor,oncampus,2;7,FALSE
4,1,Artificial Intelligence,Artificial Intelligence;Film,Bachelor,oncampus,2;3,TRUE
5,1,Artificial Intelligence,Design;Film,Bachelor,oncampus,3;10,TRUE
6,1,Artificial Intelligence,Banking;Psychology;Cybersecurity,Master,oncampus,2;7,FALSE
7,1,Data Science,Data Science;Design;Data Science,Bachelor,oncampus,3;10,FALSE
8,1,Design,Design;Public Health;Data Science,Master,hybrid,10,FALSE
9,1,Banking,Law;Environmental Science;Public Health,Diploma,oncampus,10,TRUE
10,1,Business,Ecology;International Law,Bachelor,oncampus,10,TRUE
11,1,Education,Education;Engineering;Renewable Energy,Bachelor,oncampus,3;7,TRUE
12,1,Architecture,Film;Sustainable Design,Bachelor,hybrid,2,FALSE
13,1,Data Science,International Law;Data Science,Master,oncampus,3,FALSE
14,1,Sustainable Design,Ecology;Banking;Sustainable Design,Diploma,hybrid,7,FALSE
15,1,Design,Finance;Business,Bachelor,hybrid,2;7,FALSE
16,1,Public Health,Cybersecurity;Public Health;Education,Bachelor,hybrid,2,TRUE
17,1,Artificial Intelligence,Artificial Intelligence;International Law;Business,Master,hybrid,3,TRUE
18,1,Banking,Film;Architecture,Bachelor,oncampus,3;7,FALSE
19,1,Renewable Energy,Renewable Energy;Artificial Intelligence,Bachelor,oncampus,3,TRUE
20,1,Computer Science,Computer Science;Accounting;Design,Diploma,oncampus,3;10,FALSE
21,1,Data Science,Ecology;Data Science;International Law,Bachelor,hybrid,2;3,FALSE
22,1,Cybersecurity,Cybersecurity;Architecture,Master,online,2,FALSE
23,1,Information Technology,Public Health;Information Technology,Bachelor,oncampus,3,TRUE
24,1,Architecture,Artificial Intelligence;Accounting,Bachelor,oncampus,2,TRUE
25,1,Artificial Intelligence,Architecture;Accounting,PhD,oncampus,2;10,FALSE
26,1,Marketing,Banking;Psychology,Bachelor,online,2;10,FALSE
27,1,Finance,Finance;Law;Information Technology,Bachelor,oncampus,7;10,TRUE
28,1,Renewable Energy,Renewable Energy;Artificial Intelligence;Marketing,Bachelor,online,3,FALSE
29,1,Psychology,Psychology;Accounting,Diploma,oncampus,7,FALSE
30,1,Banking,Public Health;Environmental Science;Banking,Bachelor,online,3;7,FALSE
31,1,Public Health,Public Health;Sustainable Design,PhD,oncampus,7,FALSE
32,1,Business,Accounting;Business,PhD,oncampus,7;10,TRUE
33,1,Design,Design;Nursing;Data Science,Bachelor,oncampus,2,TRUE
34,1,Ecology,Banking;Nursing;Film,Bachelor,oncampus,7;10,TRUE
35,1,Engineering,Design;Information Technology,Bachelor,oncampus,7,FALSE
36,2,Business,Ecology;Marketing;Banking,Master,oncampus,2;10,TRUE
37,2,Environmental Science,International Law;Education;Environmental Science,PhD,oncampus,7,TRUE
38,2,Information Technology,Information Technology;Finance;Data Science,Master,hybrid,3,FALSE
39,2,Accounting,Marketing;Architecture,Master,hybrid,7;10,FALSE
40,2,Ecology,Ecology;Banking,Master,hybrid,10,FALSE
41,2,Accounting,Sustainable Design;Accounting;Education,Bachelor,online,3;10,FALSE
42,2,Banking,Design;Education;Banking,Master,hybrid,2,TRUE
43,2,Banking,Cybersecurity;Banking,Bachelor,online,3;7,FALSE
44,2,Film,Cybersecurity;Law,PhD,oncampus,2;10,TRUE
45,2,Renewable Energy,International Law;Ecology,PhD,oncampus,7,FALSE
46,2,Film,Ecology;Nursing,Bachelor,oncampus,10,TRUE
47,2,Environmental Science,Architecture;Finance;Environmental Science,Bachelor,online,7,FALSE
48,2,Psychology,Finance;Nursing;Computer Science,Bachelor,oncampus,10,FALSE
49,2,Data Science,Data Science;Engineering,Bachelor,oncampus,7,FALSE
50,2,Artificial Intelligence,Accounting;Artificial Intelligence,Master,oncampus,2;10,FALSE
51,2,Engineering,Artificial Intelligence;Sustainable Design;Architecture,Master,oncampus,2;3,FALSE
52,2,Design,Cybersecurity;Architecture,Master,oncampus,2;7,FALSE
53,2,Accounting,Business;Sustainable Design;Cybersecurity,PhD,hybrid,10,FALSE
54,2,Film,International Law;Film,Master,online,3;10,FALSE
55,2,Banking,Renewable Energy;Banking;Banking,Master,oncampus,2;7,TRUE
56,2,Nursing,Public Health;Nursing;International Law,Bachelor,oncampus,3;7,FALSE
57,2,Finance,International Law;Architecture;Finance,Diploma,oncampus,3;10,FALSE
58,3,Law,Psychology;Law;Computer Science,PhD,oncampus,3;10,TRUE
59,3,International Law,Accounting;International Law;International Law,Master,oncampus,2,FALSE
60,3,Psychology,Data Science;Ecology,Bachelor,hybrid,2,TRUE
61,3,Psychology,Artificial Intelligence;Psychology,Bachelor,hybrid,3,TRUE
62,3,Information Technology,Finance;Public Health;Sustainable Design,Bachelor,oncampus,3;10,TRUE
63,3,Artificial Intelligence,International Law;Artificial Intelligence,Bachelor,online,2;10,TRUE
64,3,Accounting,Computer Science;Accounting,Bachelor,oncampus,2;7,FALSE
65,3,Finance,Finance;Marketing;Banking,Bachelor,oncampus,2;3,FALSE
66,3,Law,Law;Environmental Science,Master,online,2;3,FALSE
67,3,Environmental Science,Environmental Science;Data Science;Film,Master,online,2;7,TRUE
68,3,Design,Cybersecurity;Architecture,Bachelor,online,10,FALSE
69,3,Environmental Science,Ecology;Renewable Energy;Marketing,Bachelor,oncampus,7,FALSE
70,3,Public Health,Artificial Intelligence;Sustainable Design;Banking,Master,oncampus,3;10,FALSE
71,3,Marketing,Banking;Public Health,Bachelor,online,7;10,FALSE
72,3,Computer Science,Accounting;Finance,Bachelor,oncampus,3;7,FALSE
73,3,Engineering,Engineering;Engineering,Master,oncampus,3,FALSE
74,3,Nursing,Engineering;Education;International Law,Master,oncampus,10,TRUE
75,3,Banking,Accounting;Ecology,Bachelor,oncampus,3,FALSE
76,3,Finance,Banking;Finance;Ecology,Bachelor,oncampus,2;7,FALSE
77,3,Nursing,Nursing;Banking,Diploma,oncampus,3;7,FALSE
78,3,Engineering,Nursing;Computer Science,Diploma,oncampus,3,TRUE
