student_id,interests,core_program,program_match
3109,Information Technology;Education;Design;Artificial Intelligence,information technology,0.6
2153,Design;Cybersecurity;Computer Science;International Law,trades,0.12
4063,Architecture;Artificial Intelligence;Data Science,engineering,0.42
1031,Psychology;Cybersecurity;Computer Science,construction,0.1
2063,Banking;Accounting;Nursing;Law,logistics,0.16
2946,Sustainable Design;Film,logistics,0.12
4860,Film;Business;Marketing,information technology,0.41
4572,Accounting;Psychology;Cybersecurity;Environmental Science;Marketing,agriculture,0.24
54,Engineering;Data Science;Law;Education;Public Health,information technology,0.52
2173,Cybersecurity;Design;Artificial Intelligence;Psychology;Nursing,agriculture,0.16
1618,International Law;Computer Science;Artificial Intelligence,cyber security,0.39
383,Information Technology;Renewable Energy;Film,health sciences,0.34
2460,Engineering;Psychology;Environmental Science,agriculture,0.31
4076,Accounting;International Law;Film,agriculture,0.18
718,Film;Public Health;Computer Science;Nursing;Environmental Science,construction,0.25
3981,Banking;Architecture;Engineering,information technology,0.4
892,Design;Architecture;International Law;Data Science,mining,0.17
1178,Sustainable Design;Architecture;Data Science,information technology,0.52
40,Renewable Energy;Finance,engineering,0.28
1346,Data Science;Psychology,trades,0.11
3699,Artificial Intelligence;Environmental Science,construction,0.28
1638,Sustainable Design;Information Technology;Business,cyber security,0.31
287,Artificial Intelligence;Education;Marketing,health sciences,0.43
1009,International Law;Environmental Science;Sustainable Design;Banking,cyber security,0.3
2749,Artificial Intelligence;Data Science;Cybersecurity,mining,0.11
813,Marketing;Artificial Intelligence,trades,0.16
316,Film;Data Science;Architecture;International Law,engineering,0.36
3949,Data Science;Psychology,trades,0.11
3431,Cybersecurity;Engineering;Accounting;Computer Science,mining,0.18
2611,Nursing;Film;Architecture;Environmental Science;Public Health,information technology,0.36
2923,Architecture;Finance;Sustainable Design,nursing,0.17
3833,Engineering;Artificial Intelligence,health sciences,0.43
399,Business;Environmental Science;Sustainable Design;Engineering,mining,0.3
3794,Sustainable Design;Education;Accounting;Artificial Intelligence;Information Technology,education,0.46
1840,Environmental Science;Cybersecurity;Finance,agriculture,0.35
3921,Architecture;Data Science;Education;Public Health;Environmental Science,education,0.61
1853,Design;Renewable Energy;Education;Sustainable Design;Nursing,cyber security,0.19
3729,Environmental Science;Artificial Intelligence;Accounting,nursing,0.23
3299,Marketing;Business;Information Technology;International Law,agriculture,0.3
475,Law;Cybersecurity;Renewable Energy;Public Health,agriculture,0.28
256,Engineering;Finance,engineering,0.65
103,Information Technology;Engineering,cyber security,0.31
2185,Engineering;Renewable Energy,agriculture,0.35
1779,Environmental Science;Law;Information Technology,health sciences,0.54
4940,Design;Engineering,health sciences,0.38
1698,International Law;Computer Science;Data Science;Architecture,trades,0.14
2042,Psychology;Sustainable Design;Renewable Energy;Data Science,construction,0.28
4093,Marketing;Data Science,nursing,0.2
2408,Nursing;Engineering;Architecture;Artificial Intelligence;International Law,trades,0.11
151,Computer Science;Engineering;Marketing,construction,0.33
3814,Architecture;Cybersecurity;Business,information technology,0.32
3712,Nursing;Law;Data Science;Accounting;Public Health,information technology,0.42
3112,Architecture;Environmental Science,education,0.44
1150,Computer Science;Accounting,mining,0.19
4743,Engineering;Business,construction,0.45
3096,Ecology;Business;Accounting;Computer Science,health sciences,0.41
4037,Accounting;Psychology;Finance;Film;Law,nursing,0.19
4892,Environmental Science;Education;Finance;Banking;Data Science,information technology,0.5
3777,Environmental Science;Marketing,information technology,0.52
2524,Public Health;Film;Information Technology;Business;Education,information technology,0.55
517,Business;Nursing;Renewable Energy;International Law,nursing,0.38
650,Finance;Accounting,cyber security,0.21
1686,Cybersecurity;Accounting,education,0.16
4648,Business;Marketing,trades,0.3
3570,Cybersecurity;Marketing;Renewable Energy,information technology,0.34
1571,Public Health;Law,agriculture,0.31
2358,Banking;Film,construction,0.21
1987,Psychology;Finance;Data Science,logistics,0.17
147,Law;Nursing;Banking,engineering,0.28
2269,Sustainable Design;Engineering;Artificial Intelligence,nursing,0.22
4587,Design;Sustainable Design;Marketing;Film,logistics,0.2
3579,Psychology;Cybersecurity;Renewable Energy,health sciences,0.29
767,Artificial Intelligence;Ecology;Finance;Banking,logistics,0.21
4714,Finance;Computer Science;Ecology;Sustainable Design;Banking,cyber security,0.24
4079,Banking;Environmental Science;Renewable Energy,trades,0.18
4539,Law;Renewable Energy;Data Science;Public Health;Artificial Intelligence,agriculture,0.32
3546,Law;Accounting;International Law,information technology,0.38
1114,Cybersecurity;Business;Banking;Data Science,construction,0.25
786,Education;Accounting,cyber security,0.22
