student_id,interests,core_program,pred_label_match
S000123,computer science;data science,information technology,0.664
S000123,computer science;data science,engineering,0.5323
S000123,computer science;data science,education,0.4731
S000123,computer science;data science,public health,0.4441
S000123,computer science;data science,agriculture,0.3361
S000123,computer science;data science,cyber security,0.3255
S000123,computer science;data science,construction,0.3056
S000123,computer science;data science,nursing,0.2802
S000123,computer science;data science,logistics,0.233
S000123,computer science;data science,mining,0.2162
S000123,computer science;data science,trades,0.181
